profile;month;day_type;interval;value_kwh_per_1m_kwh
H25;1;SA;00:00-00:15;22.152
H25;1;SA;00:15-00:30;20.809
H25;1;SA;00:30-00:45;19.757
H25;1;SA;00:45-01:00;18.889
H25;1;SA;01:00-01:15;18.217
H25;1;SA;01:15-01:30;17.53
H25;1;SA;01:30-01:45;16.988
H25;1;SA;01:45-02:00;16.399
H25;1;SA;02:00-02:15;16.199
H25;1;SA;02:15-02:30;15.893
H25;1;SA;02:30-02:45;15.66
H25;1;SA;02:45-03:00;15.442
H25;1;SA;03:00-03:15;15.398
H25;1;SA;03:15-03:30;15.219
H25;1;SA;03:30-03:45;15.102
H25;1;SA;03:45-04:00;15.029
H25;1;SA;04:00-04:15;15.19
H25;1;SA;04:15-04:30;15.066
H25;1;SA;04:30-04:45;15.097
H25;1;SA;04:45-05:00;15.312
H25;1;SA;05:00-05:15;15.366
H25;1;SA;05:15-05:30;15.192
H25;1;SA;05:30-05:45;15.338
H25;1;SA;05:45-06:00;15.819
H25;1;SA;06:00-06:15;16.806
H25;1;SA;06:15-06:30;17.632
H25;1;SA;06:30-06:45;18.582
H25;1;SA;06:45-07:00;19.477
H25;1;SA;07:00-07:15;21.015
H25;1;SA;07:15-07:30;22.34
H25;1;SA;07:30-07:45;23.947
H25;1;SA;07:45-08:00;25.491
H25;1;SA;08:00-08:15;26.837
H25;1;SA;08:15-08:30;28.317
H25;1;SA;08:30-08:45;29.179
H25;1;SA;08:45-09:00;30.038
H25;1;SA;09:00-09:15;30.834
H25;1;SA;09:15-09:30;31.737
H25;1;SA;09:30-09:45;32.301
H25;1;SA;09:45-10:00;32.771
H25;1;SA;10:00-10:15;33.451
H25;1;SA;10:15-10:30;34.172
H25;1;SA;10:30-10:45;34.721
H25;1;SA;10:45-11:00;35.472
H25;1;SA;11:00-11:15;36.638
H25;1;SA;11:15-11:30;37.602
H25;1;SA;11:30-11:45;38.463
H25;1;SA;11:45-12:00;38.883
H25;1;SA;12:00-12:15;38.394
H25;1;SA;12:15-12:30;37.981
H25;1;SA;12:30-12:45;37.549
H25;1;SA;12:45-13:00;37.194
H25;1;SA;13:00-13:15;36.759
H25;1;SA;13:15-13:30;36.299
H25;1;SA;13:30-13:45;36.095
H25;1;SA;13:45-14:00;35.686
H25;1;SA;14:00-14:15;35.325
H25;1;SA;14:15-14:30;35.331
H25;1;SA;14:30-14:45;35.305
H25;1;SA;14:45-15:00;35.132
H25;1;SA;15:00-15:15;35.158
H25;1;SA;15:15-15:30;35.179
H25;1;SA;15:30-15:45;35.203
H25;1;SA;15:45-16:00;35.45
H25;1;SA;16:00-16:15;36.116
H25;1;SA;16:15-16:30;36.902
H25;1;SA;16:30-16:45;37.761
H25;1;SA;16:45-17:00;38.927
